param,F1,F2,F3,error,file_name,id,group,label,max_formant,speaker_num,optimized,word,stress,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context
0,325.465468834877,629.6575365195682,1139.454968719238,0.012312766377852002,utterance_000002,0-0-0-0,group_0,SIL,3358.974358974359,1,3,<eps>,"",0.26,#,ҫак,#,#,P,ɕ,coextensive
1,-10.785331518060586,-8.278625873579577,-78.41687094637913,0.012312766377852002,utterance_000002,0-0-0-0,group_0,SIL,3358.974358974359,1,3,<eps>,"",0.26,#,ҫак,#,#,P,ɕ,coextensive
2,4.930963296553429,-8.974383383551363,42.464770412094374,0.012312766377852002,utterance_000002,0-0-0-0,group_0,SIL,3358.974358974359,1,3,<eps>,"",0.26,#,ҫак,#,#,P,ɕ,coextensive
3,29.325947315825253,8.466192652629065,-16.801464019677322,0.012312766377852002,utterance_000002,0-0-0-0,group_0,SIL,3358.974358974359,1,3,<eps>,"",0.26,#,ҫак,#,#,P,ɕ,coextensive
4,21.546454060635774,19.514889175732538,16.157424494548753,0.012312766377852002,utterance_000002,0-0-0-0,group_0,SIL,3358.974358974359,1,3,<eps>,"",0.26,#,ҫак,#,#,P,ɕ,coextensive
0,279.69581337700924,569.4442887284747,1247.9211234772986,0.00042128375532055003,utterance_000002,0-0-1-1,group_0,AA,3179.4871794871797,1,3,ҫак,"",0.07,<eps>,акцине,ɕ,K,ɕ,K,internal
1,7.14786617446816,-1.517244715937355,87.58478425133586,0.00042128375532055003,utterance_000002,0-0-1-1,group_0,AA,3179.4871794871797,1,3,ҫак,"",0.07,<eps>,акцине,ɕ,K,ɕ,K,internal
2,0.9789053653266786,-5.488259214572469,-12.734685146527317,0.00042128375532055003,utterance_000002,0-0-1-1,group_0,AA,3179.4871794871797,1,3,ҫак,"",0.07,<eps>,акцине,ɕ,K,ɕ,K,internal
3,4.153292470247689,1.7916259111027502,-2.0882745340720987,0.00042128375532055003,utterance_000002,0-0-1-1,group_0,AA,3179.4871794871797,1,3,ҫак,"",0.07,<eps>,акцине,ɕ,K,ɕ,K,internal
4,-0.22221377124210318,0.22619400164968573,22.808928193534015,0.00042128375532055003,utterance_000002,0-0-1-1,group_0,AA,3179.4871794871797,1,3,ҫак,"",0.07,<eps>,акцине,ɕ,K,ɕ,K,internal
0,312.8018477505609,582.845755450291,1155.1303580419878,0.00001485493017873062,utterance_000002,0-0-2-0,group_0,AA,3000.0,1,3,акцине,"",0.050000000000000044,ҫак,4-мӗш,#,K,K,K,initial
1,21.530852079056892,11.870078399516391,6.44175657231002,0.00001485493017873062,utterance_000002,0-0-2-0,group_0,AA,3000.0,1,3,акцине,"",0.050000000000000044,ҫак,4-мӗш,#,K,K,K,initial
2,4.417642546886692,-0.31136191539418817,2.655112011706587,0.00001485493017873062,utterance_000002,0-0-2-0,group_0,AA,3000.0,1,3,акцине,"",0.050000000000000044,ҫак,4-мӗш,#,K,K,K,initial
3,1.7381515288811817,-1.0941479672356353,2.6586455217045795,0.00001485493017873062,utterance_000002,0-0-2-0,group_0,AA,3000.0,1,3,акцине,"",0.050000000000000044,ҫак,4-мӗш,#,K,K,K,initial
4,1.5274368333695167,0.6285276696213982,0.5256536978690164,0.00001485493017873062,utterance_000002,0-0-2-0,group_0,AA,3000.0,1,3,акцине,"",0.050000000000000044,ҫак,4-мӗш,#,K,K,K,initial
0,266.39792629723746,575.1287984221857,934.9014892996538,0.001152562825139393,utterance_000002,0-0-4-8,group_0,AA,3538.4615384615386,1,3,класранпа,"",0.06999999999999984,4-мӗш,хутшӑнатӑп,P,#,P,χ,final
1,-16.26686184919647,-13.862731316642417,52.681082702838395,0.001152562825139393,utterance_000002,0-0-4-8,group_0,AA,3538.4615384615386,1,3,класранпа,"",0.06999999999999984,4-мӗш,хутшӑнатӑп,P,#,P,χ,final
2,-6.9378454967567595,0.3354429057311684,-40.97801776809923,0.001152562825139393,utterance_000002,0-0-4-8,group_0,AA,3538.4615384615386,1,3,класранпа,"",0.06999999999999984,4-мӗш,хутшӑнатӑп,P,#,P,χ,final
3,-11.238165303835682,-4.102094422356348,-54.197975325784014,0.001152562825139393,utterance_000002,0-0-4-8,group_0,AA,3538.4615384615386,1,3,класранпа,"",0.06999999999999984,4-мӗш,хутшӑнатӑп,P,#,P,χ,final
4,-6.0056652623204885,-0.30831372573578664,-18.201931191590294,0.001152562825139393,utterance_000002,0-0-4-8,group_0,AA,3538.4615384615386,1,3,класранпа,"",0.06999999999999984,4-мӗш,хутшӑнатӑп,P,#,P,χ,final
0,358.81701271911254,667.3355764715221,1182.2026769482452,0.0007983533866755348,utterance_000002,0-0-5-5,group_0,AA,3000.0,1,3,хутшӑнатӑп,"",0.11000000000000032,класранпа,#,N,t,N,t,internal
1,-18.641062433861208,-34.59858160257792,-14.386844139802436,0.0007983533866755348,utterance_000002,0-0-5-5,group_0,AA,3000.0,1,3,хутшӑнатӑп,"",0.11000000000000032,класранпа,#,N,t,N,t,internal
2,0.9606995570809385,-37.687562951962,-6.560481246805434,0.0007983533866755348,utterance_000002,0-0-5-5,group_0,AA,3000.0,1,3,хутшӑнатӑп,"",0.11000000000000032,класранпа,#,N,t,N,t,internal
3,9.621327760379085,19.76527162228353,5.497197985841859,0.0007983533866755348,utterance_000002,0-0-5-5,group_0,AA,3000.0,1,3,хутшӑнатӑп,"",0.11000000000000032,класранпа,#,N,t,N,t,internal
4,8.557286727244337,-11.101344108517143,4.188031733631643,0.0007983533866755348,utterance_000002,0-0-5-5,group_0,AA,3000.0,1,3,хутшӑнатӑп,"",0.11000000000000032,класранпа,#,N,t,N,t,internal
0,389.42568095543186,1787.6459775521948,2401.3043499071505,0.005992030735554316,utterance_000002,0-0-2-5,group_0,EY,7487.179487179487,1,3,акцине,"",0.14,ҫак,4-мӗш,N,#,N,spn,final
1,-21.972760788885438,-202.60577641594307,-137.00090518611603,0.005992030735554316,utterance_000002,0-0-2-5,group_0,EY,7487.179487179487,1,3,акцине,"",0.14,ҫак,4-мӗш,N,#,N,spn,final
2,-8.484231906494808,-205.00617705745202,-120.04885242398463,0.005992030735554316,utterance_000002,0-0-2-5,group_0,EY,7487.179487179487,1,3,акцине,"",0.14,ҫак,4-мӗш,N,#,N,spn,final
3,-4.065008329562761,-124.80780776864599,-59.84084682520044,0.005992030735554316,utterance_000002,0-0-2-5,group_0,EY,7487.179487179487,1,3,акцине,"",0.14,ҫак,4-мӗш,N,#,N,spn,final
4,0.9340545408197737,-85.59285403410722,36.958136384950755,0.005992030735554316,utterance_000002,0-0-2-5,group_0,EY,7487.179487179487,1,3,акцине,"",0.14,ҫак,4-мӗш,N,#,N,spn,final
0,300.71636429664443,643.268300819367,1233.6994936164372,0.0017256087101262623,utterance_000002,0-0-5-1,group_0,UW,3897.4358974358975,1,3,хутшӑнатӑп,"",0.06000000000000005,класранпа,#,χ,tʃ,χ,tʃ,internal
1,-22.958847310337458,-70.69604004695168,-18.33856097296906,0.0017256087101262623,utterance_000002,0-0-5-1,group_0,UW,3897.4358974358975,1,3,хутшӑнатӑп,"",0.06000000000000005,класранпа,#,χ,tʃ,χ,tʃ,internal
2,-21.672145906447774,-17.56319409807653,-74.93939236506485,0.0017256087101262623,utterance_000002,0-0-5-1,group_0,UW,3897.4358974358975,1,3,хутшӑнатӑп,"",0.06000000000000005,класранпа,#,χ,tʃ,χ,tʃ,internal
3,-14.493453258850993,-2.981254037032452,-35.89597047456328,0.0017256087101262623,utterance_000002,0-0-5-1,group_0,UW,3897.4358974358975,1,3,хутшӑнатӑп,"",0.06000000000000005,класранпа,#,χ,tʃ,χ,tʃ,internal
4,-1.287611459682984,9.771866284124371,6.63413742643695,0.0017256087101262623,utterance_000002,0-0-5-1,group_0,UW,3897.4358974358975,1,3,хутшӑнатӑп,"",0.06000000000000005,класранпа,#,χ,tʃ,χ,tʃ,internal
0,463.3120015097937,1180.426417474935,1934.798511302815,0.00008346381549796932,utterance_000002,0-0-5-7,group_0,AH,5692.3076923076915,1,3,хутшӑнатӑп,"",0.07000000000000028,класранпа,#,t,P,t,P,internal
1,-0.5731066424556177,24.772684977530773,-29.62626370676463,0.00008346381549796932,utterance_000002,0-0-5-7,group_0,AH,5692.3076923076915,1,3,хутшӑнатӑп,"",0.07000000000000028,класранпа,#,t,P,t,P,internal
2,-6.088720364535725,11.024250068570357,44.21826615543697,0.00008346381549796932,utterance_000002,0-0-5-7,group_0,AH,5692.3076923076915,1,3,хутшӑнатӑп,"",0.07000000000000028,класранпа,#,t,P,t,P,internal
3,3.074659179411231,3.5235613280714477,-0.5843437910619709,0.00008346381549796932,utterance_000002,0-0-5-7,group_0,AH,5692.3076923076915,1,3,хутшӑнатӑп,"",0.07000000000000028,класранпа,#,t,P,t,P,internal
4,-1.052145354411998,6.1342489259197,28.95067420773031,0.00008346381549796932,utterance_000002,0-0-5-7,group_0,AH,5692.3076923076915,1,3,хутшӑнатӑп,"",0.07000000000000028,класранпа,#,t,P,t,P,internal
