F1,F2,F3,B1,B2,B3,max_formant,smooth_error,time,rel_time,prop_time,id,label,file_name,group,speaker_num,point_heuristic,optimized,word,stress,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context
1235.795436854154,2982.356916264046,4598.61207964607,4.256818396777337,4.499484588124635,4.688231689720243,9282.051282051281,0.10133159593806632,0.25875000000000004,0.271,0.33292383292383293,0-0-0-0,SIL,utterance_000003,group_0,1,fave,2,<eps>,"",0.79,#,бухгалтер,#,#,SIL,spn,coextensive
1100.606499031757,2763.052422156427,4344.183007308688,4.272900348299181,4.46055077468019,4.651618773038504,8205.128205128205,0.00006580291068110711,4.207375000000001,0.027000000000000003,0.32142857142857145,0-0-9-0,SIL,utterance_000003,group_0,1,fave,2,<eps>,"",0.05999999999999961,сисрӗ,#,#,#,EH,,coextensive
272.21832878552846,1642.7064503072809,2763.6608665448407,3.6976161028511734,3.6398919954212423,3.6269153389183075,6230.7692307692305,0.00014647367240346718,1.016375,0.025,0.3378378378378379,0-0-2-1,EH,utterance_000003,group_0,1,fave,2,мӗн,"",0.050000000000000044,бухгалтер,ҫинчен,M,N,M,N,internal
673.1119523513947,1893.3988619752315,2782.4548913018784,3.608837783791049,4.0295284374625995,4.268906294654264,6230.7692307692305,0.012020377125397053,3.7643750000000002,0.181,0.3327205882352941,0-0-8-4,EH,utterance_000003,group_0,1,fave,2,сисрӗ,"",0.52,хӑвӑрт,<eps>,R,#,R,SIL,final
311.8493094651818,2543.210701805131,3153.4270882383335,3.323648331668955,3.4091811165979147,3.8704979506211443,6230.7692307692305,0.00007940388445150536,1.211375,0.035,0.33653846153846156,0-0-3-1,IY,utterance_000003,group_0,1,fave,2,ҫинчен,"",0.08000000000000007,мӗн,пӗлме,ɕ,N,ɕ,N,internal
478.8065265991156,2200.667327437435,3099.603280876889,3.9238098604413336,3.5474440952815502,3.8691726155503248,6589.74358974359,0.00032871223245465524,2.239375,0.031,0.32978723404255317,0-0-5-6,IY,utterance_000003,group_0,1,fave,2,шутланине,"",0.06999999999999984,пӗлме,санюк,N,N,N,N,internal
368.07257645452484,2270.3060427555915,3136.1118091760427,3.8104715489215684,3.455574123867845,3.4276075606288114,6230.7692307692305,0.00048043727326226894,3.4313749999999996,0.035,0.33653846153846156,0-0-8-1,IY,utterance_000003,group_0,1,fave,2,сисрӗ,"",0.08000000000000007,хӑвӑрт,<eps>,s,s,s,s,internal
454.86587944785333,2432.944953164345,3146.030714889634,3.435610234362127,3.4275168063003547,3.7554517250384163,7128.205128205128,4.588530772094602e-6,1.397375,0.027000000000000003,0.32142857142857145,0-0-3-4,EY,utterance_000003,group_0,1,fave,2,ҫинчен,"",0.06000000000000005,мӗн,пӗлме,tʃ,N,tʃ,N,internal
524.2204013183983,2299.2827745746486,2967.463624138561,3.5251724312909936,3.122010118121117,3.3220235493644106,6589.74358974359,0.000028929576578025674,1.7793750000000002,0.031,0.32978723404255317,0-0-4-4,EY,utterance_000003,group_0,1,fave,2,пӗлме,"",0.07000000000000006,ҫинчен,шутланине,M,#,M,SH,final
484.48799477553257,2745.3289650171146,3376.0417565409707,3.4556381031782624,3.3686325347139836,3.4183894042246363,6589.74358974359,0.00006617641083748508,2.3843750000000004,0.041,0.3306451612903226,0-0-5-8,EY,utterance_000003,group_0,1,fave,2,шутланине,"",0.10000000000000009,пӗлме,санюк,N,#,N,s,final
324.6900279673977,788.7625909583986,1424.400441567708,3.4056119719218154,3.8515379724670518,4.154796191711522,3000.0,0.00014705716656938488,1.936375,0.025,0.33783783783783783,0-0-5-1,UW,utterance_000003,group_0,1,fave,2,шутланине,"",0.050000000000000044,пӗлме,санюк,SH,t,SH,t,internal
774.5110002954829,3018.428433463331,4553.008483425409,3.7071683552705186,3.6998496305098416,4.329398347661022,10000.0,0.002002876229462093,2.792375,0.037,0.32456140350877194,0-0-6-4,UW,utterance_000003,group_0,1,fave,2,санюк,"",0.0900000000000003,шутланине,хӑвӑрт,Y,K,Y,K,internal
784.2811864222948,1543.9394289976324,3101.023544376956,3.407897282901027,3.265816624869245,3.6518483156844073,6230.7692307692305,0.00010298729808774959,2.109375,0.031,0.32978723404255317,0-0-5-4,AA,utterance_000003,group_0,1,fave,2,шутланине,"",0.06999999999999984,пӗлме,санюк,l,N,l,N,internal
883.0468540424639,1723.7177472793348,3095.3957182988624,3.647512312425325,3.4711214572862774,3.7967335472289427,6589.74358974359,0.0000360607512201431,2.6013749999999995,0.035,0.33653846153846156,0-0-6-1,AA,utterance_000003,group_0,1,fave,2,санюк,"",0.08000000000000007,шутланине,хӑвӑрт,s,N,s,N,internal
575.7014434097873,1059.077673194114,3114.0786723463107,3.3604864856214007,2.67245222248744,3.0944610922246247,4974.358974358975,2.057796418716939e-6,3.0773749999999995,0.027000000000000003,0.32142857142857145,0-0-7-1,AH,utterance_000003,group_0,1,fave,2,хӑвӑрт,"",0.06000000000000005,санюк,сисрӗ,χ,V,χ,V,internal
501.66363665826594,933.3372284327088,1237.3540468939243,3.119806084460615,3.5311009203145787,3.306373602590372,3538.4615384615386,0.000013721199528946892,3.196375,0.025,0.33783783783783783,0-0-7-3,AH,utterance_000003,group_0,1,fave,2,хӑвӑрт,"",0.050000000000000266,санюк,сисрӗ,V,R,V,R,internal
