corpus,filepath,status,message
mfa,C:\Users\profk\Documents\GitHub\phonology-chuvash\extract\mfa\fave_output\utterance_000051_points.csv,loaded,ok
mfa,C:\Users\profk\Documents\GitHub\phonology-chuvash\extract\mfa\fave_output\utterance_000052_points.csv,loaded,ok
mfa,C:\Users\profk\Documents\GitHub\phonology-chuvash\extract\mfa\fave_output\utterance_000053_points.csv,loaded,ok
mfa,C:\Users\profk\Documents\GitHub\phonology-chuvash\extract\mfa\fave_output\utterance_000054_points.csv,loaded,ok
mfa,C:\Users\profk\Documents\GitHub\phonology-chuvash\extract\mfa\fave_output\utterance_000055_points.csv,loaded,ok
mfa,C:\Users\profk\Documents\GitHub\phonology-chuvash\extract\mfa\fave_output\utterance_000056_points.csv,loaded,ok
mfa,C:\Users\profk\Documents\GitHub\phonology-chuvash\extract\mfa\fave_output\utterance_000057_points.csv,loaded,ok
mfa,C:\Users\profk\Documents\GitHub\phonology-chuvash\extract\mfa\fave_output\utterance_000058_points.csv,loaded,ok
mfa,C:\Users\profk\Documents\GitHub\phonology-chuvash\extract\mfa\fave_output\utterance_000059_points.csv,loaded,ok
mfa,C:\Users\profk\Documents\GitHub\phonology-chuvash\extract\mfa\fave_output\utterance_000060_points.csv,loaded,ok
mfa,C:\Users\profk\Documents\GitHub\phonology-chuvash\extract\mfa\fave_output\utterance_000061_points.csv,loaded,ok
mfa,C:\Users\profk\Documents\GitHub\phonology-chuvash\extract\mfa\fave_output\utterance_000062_points.csv,loaded,ok
mfa,C:\Users\profk\Documents\GitHub\phonology-chuvash\extract\mfa\fave_output\utterance_000063_points.csv,loaded,ok
mfa,C:\Users\profk\Documents\GitHub\phonology-chuvash\extract\mfa\fave_output\utterance_000064_points.csv,loaded,ok
mfa,C:\Users\profk\Documents\GitHub\phonology-chuvash\extract\mfa\fave_output\utterance_000065_points.csv,loaded,ok
mfa,C:\Users\profk\Documents\GitHub\phonology-chuvash\extract\mfa\fave_output\utterance_000066_points.csv,loaded,ok
mfa,C:\Users\profk\Documents\GitHub\phonology-chuvash\extract\mfa\fave_output\utterance_000067_points.csv,loaded,ok
mfa,C:\Users\profk\Documents\GitHub\phonology-chuvash\extract\mfa\fave_output\utterance_000068_points.csv,loaded,ok
mfa,C:\Users\profk\Documents\GitHub\phonology-chuvash\extract\mfa\fave_output\utterance_000069_points.csv,loaded,ok
mfa,C:\Users\profk\Documents\GitHub\phonology-chuvash\extract\mfa\fave_output\utterance_000070_points.csv,loaded,ok
mfa,C:\Users\profk\Documents\GitHub\phonology-chuvash\extract\mfa\fave_output\utterance_000071_points.csv,loaded,ok
mfa,C:\Users\profk\Documents\GitHub\phonology-chuvash\extract\mfa\fave_output\utterance_000072_points.csv,loaded,ok
mfa,C:\Users\profk\Documents\GitHub\phonology-chuvash\extract\mfa\fave_output\utterance_000073_points.csv,loaded,ok
mfa,C:\Users\profk\Documents\GitHub\phonology-chuvash\extract\mfa\fave_output\utterance_000074_points.csv,loaded,ok
mfa,C:\Users\profk\Documents\GitHub\phonology-chuvash\extract\mfa\fave_output\utterance_000075_points.csv,loaded,ok
mfa,C:\Users\profk\Documents\GitHub\phonology-chuvash\extract\mfa\fave_output\utterance_000076_points.csv,loaded,ok
mfa,C:\Users\profk\Documents\GitHub\phonology-chuvash\extract\mfa\fave_output\utterance_000077_points.csv,loaded,ok
mfa,C:\Users\profk\Documents\GitHub\phonology-chuvash\extract\mfa\fave_output\utterance_000078_points.csv,loaded,ok
mfa,C:\Users\profk\Documents\GitHub\phonology-chuvash\extract\mfa\fave_output\utterance_000079_points.csv,loaded,ok
mfa,C:\Users\profk\Documents\GitHub\phonology-chuvash\extract\mfa\fave_output\utterance_000080_points.csv,loaded,ok
mfa,C:\Users\profk\Documents\GitHub\phonology-chuvash\extract\mfa\fave_output\utterance_000081_points.csv,loaded,ok
mfa,C:\Users\profk\Documents\GitHub\phonology-chuvash\extract\mfa\fave_output\utterance_000082_points.csv,loaded,ok
mfa,C:\Users\profk\Documents\GitHub\phonology-chuvash\extract\mfa\fave_output\utterance_000083_points.csv,loaded,ok
mfa,C:\Users\profk\Documents\GitHub\phonology-chuvash\extract\mfa\fave_output\utterance_000084_points.csv,loaded,ok
mfa,C:\Users\profk\Documents\GitHub\phonology-chuvash\extract\mfa\fave_output\utterance_000085_points.csv,loaded,ok
mfa,C:\Users\profk\Documents\GitHub\phonology-chuvash\extract\mfa\fave_output\utterance_000086_points.csv,loaded,ok
mfa,C:\Users\profk\Documents\GitHub\phonology-chuvash\extract\mfa\fave_output\utterance_000087_points.csv,loaded,ok
mfa,C:\Users\profk\Documents\GitHub\phonology-chuvash\extract\mfa\fave_output\utterance_000088_points.csv,loaded,ok
mfa,C:\Users\profk\Documents\GitHub\phonology-chuvash\extract\mfa\fave_output\utterance_000089_points.csv,loaded,ok
mfa,C:\Users\profk\Documents\GitHub\phonology-chuvash\extract\mfa\fave_output\utterance_000090_points.csv,loaded,ok
mfa,C:\Users\profk\Documents\GitHub\phonology-chuvash\extract\mfa\fave_output\utterance_000091_points.csv,loaded,ok
mfa,C:\Users\profk\Documents\GitHub\phonology-chuvash\extract\mfa\fave_output\utterance_000092_points.csv,loaded,ok
mfa,C:\Users\profk\Documents\GitHub\phonology-chuvash\extract\mfa\fave_output\utterance_000093_points.csv,loaded,ok
