F1,F2,F3,B1,B2,B3,max_formant,smooth_error,time,rel_time,prop_time,id,label,file_name,group,speaker_num,point_heuristic,optimized,word,stress,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context
1017.5114833996682,2050.824360039452,3051.311002006332,3.3541130190475186,4.244608795803054,4.420566757552018,5333.333333333333,0.0036300865694395,0.1327499999999999,0.145,0.3341013824884792,0-0-0-0,SIL,utterance_000000,group_0,1,fave,4,<eps>,,0.41,#,вӑйӑн-шайӑн,#,#,R,V,coextensive
523.2780144030104,1105.3065866763804,2997.0752289398024,3.448030012924437,2.857107550297248,3.131846806257533,6051.282051282051,2.78451901534e-05,0.537375,0.027,0.3214285714285714,0-0-1-1,AH,utterance_000000,group_0,1,fave,4,вӑйӑн-шайӑн,,0.0599999999999999,<eps>,упӑшка,V,Y,V,Y,internal
499.4688567639166,2250.0234825590237,2992.680355940862,3.132586561506792,3.211340025351936,3.554436487362336,6051.282051282051,0.0003557769444237,0.6723750000000001,0.037,0.324561403508772,0-0-1-3,AH,utterance_000000,group_0,1,fave,4,вӑйӑн-шайӑн,,0.0899999999999999,<eps>,упӑшка,Y,N,Y,N,internal
766.5498167264543,1600.735218233912,2705.7237737441333,3.4612499303524378,3.5284565401831154,4.097724413877859,6410.25641025641,0.00087684915393,0.917375,0.047,0.3263888888888889,0-0-1-6,AA,utterance_000000,group_0,1,fave,4,вӑйӑн-шайӑн,,0.12,<eps>,упӑшка,SH,Y,SH,Y,internal
753.207905591139,1527.1841676600295,2760.98553479846,3.49585675540123,3.4225745144419277,3.916650913823016,6051.282051282051,0.0001031476581273,1.5413750000000002,0.035,0.3365384615384615,0-0-2-5,AA,utterance_000000,group_0,1,fave,4,упӑшка,,0.08,вӑйӑн-шайӑн,мар,K,#,K,M,final
850.2797312985887,1483.904311614283,2894.394168774945,3.5783903004264728,3.42559342904009,3.742345403304268,6051.282051282051,9.68656727671e-05,1.707375,0.047,0.3263888888888889,0-0-3-1,AA,utterance_000000,group_0,1,fave,4,мар,,0.1200000000000001,упӑшка,#,M,R,M,R,internal
621.88736684722,1320.771215098246,3382.068051325364,3.241696804776723,3.477077073417023,2.9047571972501616,6051.282051282051,0.0004851448507342,1.211375,0.035,0.3365384615384615,0-0-2-0,UW,utterance_000000,group_0,1,fave,4,упӑшка,,0.08,вӑйӑн-шайӑн,мар,#,P,N,P,initial
442.0571814993762,1978.2954059933224,2825.2779034996474,3.4716599619257797,3.407979599594485,3.9537255430531175,6948.717948717948,0.0006880767582626,0.391375,0.0349999999999999,0.3365384615384614,0-0-0-1,EH,utterance_000001,group_0,1,fave,6,мӗн,,0.08,#,калӑн,M,N,M,N,internal
456.5358380670775,2364.777708216212,3130.7280449405557,3.1530229108383194,3.703890106805855,3.758827231161831,6589.74358974359,0.0001318576231375,4.271375,0.035,0.3365384615384615,0-0-9-10,EH,utterance_000001,group_0,1,fave,6,савӑнтараҫҫӗ,,0.08,хурса,<eps>,ɕː,#,ɕː,SIL,final
506.72085988755015,2359.3138708548645,2998.7570649063646,3.190094621911632,3.4549337787560708,3.392402060848512,5871.794871794871,0.0009956543387771,5.651375000000001,0.075,0.3348214285714286,0-0-13-3,EH,utterance_000001,group_0,1,fave,6,ӗнтӗ,,0.2000000000000001,йӗртеҫҫӗ,<eps>,t,#,t,SIL,final
652.6988098688499,1505.9185679188156,2850.3449246586697,3.7382229062836743,3.661956688182936,3.8989363509739783,6948.717948717948,0.0002864397348511,0.624375,0.041,0.3306451612903227,0-0-1-1,AA,utterance_000001,group_0,1,fave,6,калӑн,,0.0999999999999999,мӗн,<eps>,K,l,K,l,internal
698.459145310102,1358.4532604312683,2236.099617481998,3.4501627020277925,3.574950394494805,4.104890960936039,6589.74358974359,0.0001511647563697,1.322375,0.037,0.3245614035087719,0-0-3-3,AA,utterance_000001,group_0,1,fave,6,куракана,,0.0899999999999998,<eps>,артистсемпе,R,K,R,K,internal
643.467077010241,1723.9714911672047,2979.071511003216,3.5687009250124397,3.6304149312934113,3.760699605718586,6769.2307692307695,1.43058882005e-05,1.467375,0.027,0.3214285714285714,0-0-3-5,AA,utterance_000001,group_0,1,fave,6,куракана,,0.06,<eps>,артистсемпе,K,N,K,N,internal
865.6294255533184,1726.5145803669263,3034.067377201345,3.6237312703338023,3.4371996400726856,3.772084842381859,6769.2307692307695,0.0010882318931015,1.624375,0.061,0.3315217391304348,0-0-3-7,AA,utterance_000001,group_0,1,fave,6,куракана,,0.1599999999999999,<eps>,артистсемпе,N,#,N,AA,final
