F1,F2,F3,B1,B2,B3,max_formant,smooth_error,time,rel_time,prop_time,id,label,file_name,group,speaker_num,point_heuristic,f0,intensity,optimized,word,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context,phon_stress,sidx,sN,syl_pos,syl_open_closed
1019.57993573259,2072.2417489800487,2971.582741867476,3.471902546335281,4.327476351325598,4.437720075522723,5333.333333333333,0.0037816538455549,0.1167499999999999,0.129,0.3359374999999999,0-0-0-0,SIL,utterance_013034,group_0,1,fave,,15.075616912782134,4,SIL,0.36,#,V.OWL.'OWSH.IYN,#,#,SIL,V,coextensive,,,,,
155.47849076094118,1004.513785892337,1658.1783150509127,2.9657208671673128,3.704816965222168,4.532392785973337,3717.948717948718,0.0042140167219552,3.119375,0.031,0.3297872340425531,0-0-8-0,SIL,utterance_013034,group_0,1,fave,156.4178851359236,53.34793390622875,4,SIL,0.0700000000000002,'M.EHN,#,#,#,N,,coextensive,,,,,
736.1129810869978,1248.5840673199257,3023.979463506525,3.407097923978879,3.648080320526788,3.847349138578436,6769.2307692307695,0.0001049029016656,0.464375,0.041,0.3306451612903226,0-0-1-1,OW,utterance_013034,group_0,1,fave,209.6730978506029,81.99835982476313,4,V.OWL.'OWSH.IYN,0.1,SIL,M.'AAJ.OWR,V,L,V,L,internal,0.0,1.0,3.0,initial,open
554.3971564627899,1125.6628707418192,3201.195337384426,3.329951226941082,3.6811723399001375,3.648227260303915,6589.74358974359,1.30750020429e-05,0.599375,0.031,0.3297872340425531,0-0-1-3,OW,utterance_013034,group_0,1,fave,246.66237750873205,85.01893623440225,4,V.OWL.'OWSH.IYN,0.07,SIL,M.'AAJ.OWR,L,SH,L,SH,internal,0.0,2.0,3.0,med,open
789.6097310412293,1465.867822325935,2895.603048552915,3.4703409987402023,3.5217259751774947,4.070184483933243,6948.717948717948,0.0002964465201196,0.961375,0.0349999999999999,0.3365384615384614,0-0-2-1,AA,utterance_013034,group_0,1,fave,218.23854088287956,83.50192207681579,4,M.'AAJ.OWR,0.08,V.OWL.'OWSH.IYN,T.AAHHɕ.'AAN.AAHH,M,J,M,J,internal,0.0,1.0,2.0,initial,open
488.1712066795959,796.0342747601968,1371.7083874266516,3.297326569112446,3.458498600494151,3.1197555078106487,3358.974358974359,3.97067191668e-05,1.159375,0.031,0.3297872340425531,0-0-2-3,OW,utterance_013034,group_0,1,fave,255.41359799340185,86.573420055056,4,M.'AAJ.OWR,0.07,V.OWL.'OWSH.IYN,T.AAHHɕ.'AAN.AAHH,J,R,J,R,internal,1.0,2.0,2.0,final,closed
811.4560849730342,1668.3186548920858,2884.6937370306223,3.6286080220463184,3.836913638925751,4.136750176087602,6410.25641025641,1.0167608796e-05,1.426375,0.025,0.3378378378378379,0-0-3-1,AA,utterance_013034,group_0,1,fave,236.0815959145074,83.2634314629664,4,T.AAHHɕ.'AAN.AAHH,0.05,M.'AAJ.OWR,HH.IXɕ.'AAL.AA,T,HH,T,HH,internal,0.0,1.0,3.0,initial,open
863.9949098593545,1736.831042898115,3084.93596036088,3.827737345320354,3.4057985030961118,4.022503683576499,6230.769230769231,0.0001303159859967,1.749375,0.031,0.3297872340425531,0-0-3-6,AA,utterance_013034,group_0,1,fave,231.25807581889325,81.41425246802656,4,T.AAHHɕ.'AAN.AAHH,0.07,M.'AAJ.OWR,HH.IXɕ.'AAL.AA,N,HH,N,HH,internal,1.0,3.0,3.0,final,closed
356.5060663095034,1574.203689399838,2898.6183527653643,3.4322902632102106,3.806982563356942,3.5500593958588187,7128.205128205128,1.77879560391e-05,1.936375,0.025,0.3378378378378378,0-0-4-1,IX,utterance_013034,group_0,1,fave,267.1942764043192,80.58271214774388,4,HH.IXɕ.'AAL.AA,0.05,T.AAHHɕ.'AAN.AAHH,P.'IXRS.AA,HH,ɕ,HH,ɕ,internal,0.0,1.0,3.0,initial,open
623.8694367058561,1905.4936480600456,3193.977712904853,3.17940801635873,3.607737575746047,4.134028138439816,7128.205128205128,9.23229952783e-05,2.049375,0.031,0.3297872340425531,0-0-4-3,AA,utterance_013034,group_0,1,fave,245.8275117230714,84.22914668063443,4,HH.IXɕ.'AAL.AA,0.0699999999999998,T.AAHHɕ.'AAN.AAHH,P.'IXRS.AA,ɕ,L,ɕ,L,internal,0.0,2.0,3.0,med,open
760.6814371945785,1578.758366533957,3071.623328829281,3.3530458148452804,3.9726229311865486,3.481593617592158,6410.25641025641,5.33999090575e-05,2.179375,0.031,0.3297872340425531,0-0-4-5,AA,utterance_013034,group_0,1,fave,233.81984113858752,83.74369060462783,4,HH.IXɕ.'AAL.AA,0.0700000000000002,T.AAHHɕ.'AAN.AAHH,P.'IXRS.AA,L,#,L,P,final,1.0,3.0,3.0,final,open
486.39064629601535,991.2738005368356,3167.47482418704,3.522333795225618,3.409060055200304,3.676056206708077,7128.205128205128,4.456897126207529e-06,2.326375,0.025,0.3378378378378378,0-0-5-1,IX,utterance_013034,group_0,1,fave,233.52304674231544,79.75605320660225,4,P.'IXRS.AA,0.0500000000000002,HH.IXɕ.'AAL.AA,'T.AHN.AH,P,R,P,R,internal,0.0,1.0,2.0,initial,closed
732.6889399911613,1738.2058238675756,3132.1360501659897,3.3480573226231063,3.552449201391456,3.539832417130349,7128.205128205128,0.0004107306945916,2.497375,0.047,0.3263888888888889,0-0-5-4,AA,utterance_013034,group_0,1,fave,215.076028702291,81.20928179521727,4,P.'IXRS.AA,0.1200000000000001,HH.IXɕ.'AAL.AA,'T.AHN.AH,S,#,S,T,final,1.0,2.0,2.0,final,open
529.3191600513778,1559.1328800150054,3113.942531228867,3.250858844585982,3.618978632504272,3.2949509984241443,6948.717948717948,1.26765774644e-05,2.659375,0.031,0.3297872340425531,0-0-6-1,AH,utterance_013034,group_0,1,fave,202.46752112508904,77.4649026459701,4,'T.AHN.AH,0.0700000000000002,P.'IXRS.AA,'M.EHN,T,N,T,N,internal,1.0,1.0,2.0,initial,open
865.2550492670874,1777.75158904346,3363.511686262897,4.014082537752001,3.744380900549625,3.5594777951665506,7307.692307692308,0.0046985550113077,2.7873749999999995,0.027,0.3214285714285714,0-0-6-3,AH,utterance_013034,group_0,1,fave,196.19142467304204,75.13518686173542,4,'T.AHN.AH,0.06,P.'IXRS.AA,'M.EHN,N,#,N,M,final,0.0,2.0,2.0,final,open
476.9540985398423,2235.8988786903174,2906.274687188308,3.2904663380581627,3.0625624481070663,3.3257251111864883,6051.282051282051,0.0001088255441279,2.936375,0.045,0.335820895522388,0-0-7-1,EH,utterance_013034,group_0,1,fave,161.1163564248509,73.44423281699497,4,'M.EHN,0.1099999999999998,'T.AHN.AH,SIL,M,N,M,N,internal,1.0,1.0,1.0,initial,closed
