F1,F2,F3,B1,B2,B3,max_formant,smooth_error,time,rel_time,prop_time,id,label,file_name,group,speaker_num,point_heuristic,f0,intensity,optimized,word,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context,phon_stress,sidx,sN,syl_pos,syl_open_closed
1044.1477487993936,3623.714162391783,4307.269210707428,3.9225486458604415,4.4645811014013175,4.502587641417341,9282.05128205128,0.0534581110378291,0.436375,0.165,0.3340080971659918,0-0-2-0,SIL,utterance_020656,group_0,1,fave,232.31085980187143,78.54278838145964,3,SIL,0.47,spn,N.'IYML.EY,#,#,spn,N,coextensive,,,,,
488.8726961397575,1060.2625200779175,1689.7002325882734,3.8860231891234864,3.817782713757009,4.180832083777447,3179.48717948718,0.0175153949129406,4.237375,0.087,0.3295454545454546,0-0-13-0,SIL,utterance_020656,group_0,1,fave,,11.227225942408488,3,SIL,0.2400000000000002,K.AANS.'EHRL.EYN.EH,#,#,#,EH0 [sidx=4/sN=4/pos=final/oc=open],,coextensive,,,,,
331.37897733327964,2772.0951946063383,3717.260411211144,3.271233488768611,3.5590525319811706,3.9187763670353553,7666.666666666666,2.70293424269e-05,0.951375,0.0349999999999999,0.3365384615384614,0-0-3-1,IY,utterance_020656,group_0,1,fave,246.11062846542916,79.90244220158316,3,N.'IYML.EY,0.08,SIL,'EHɕ,N,M,N,M,internal,0.0,1.0,2.0,initial,closed
490.419984006025,2459.872820394192,3180.218754150518,2.52454534610545,3.3636867090529075,3.690247150345152,6589.74358974359,9.926973752e-05,1.262375,0.037,0.3245614035087719,0-0-3-4,EY,utterance_020656,group_0,1,fave,243.08084515102547,81.92517838467346,3,N.'IYML.EY,0.09,SIL,'EHɕ,L,#,L,EH1 [sidx=1/sN=1/pos=initial/oc=open],final,1.0,2.0,2.0,final,open
452.9706920075552,2438.370315375224,3053.0313102420946,2.4075461980242534,3.557349521358628,4.074399665818165,7307.692307692308,5.96987795194e-05,2.502375,0.037,0.324561403508772,0-0-8-2,EY,utterance_020656,group_0,1,fave,230.47439607112952,76.31276101826165,3,EHɕ.'EY,0.0899999999999998,'P.UWR,'T.EY,ɕ,#,ɕ,T,final,1.0,2.0,2.0,final,open
459.7039347187902,2116.0644860321604,2838.458505981439,3.3801288358482773,3.470523598114444,3.241567599051936,6589.74358974359,8.617975886549317e-06,2.947375,0.027,0.3214285714285714,0-0-10-3,EY,utterance_020656,group_0,1,fave,216.496963410117,72.62388923976502,3,J.'EHP.EY,0.06,'T.EY,S.'AAP.AA,P,#,P,S,final,1.0,2.0,2.0,final,open
474.7856891695795,2355.21561973844,3076.5203786407187,3.255191250092597,3.505919031106607,3.3476206316851007,6589.74358974359,6.27984259168e-05,1.5593750000000002,0.031,0.3297872340425531,0-0-5-1,EY,utterance_020656,group_0,1,fave,225.3184243008815,76.86388144211271,3,'T.EY,0.07,'EHɕ,T.'UWM.AAN,T,#,T,T,final,1.0,1.0,1.0,initial,open
450.7201616792438,2567.986603470312,3281.1700463458174,2.6767476511584527,3.1577550400968404,3.4876720112376223,6051.282051282051,7.673888602261974e-06,2.656375,0.025,0.3378378378378379,0-0-9-1,EY,utterance_020656,group_0,1,fave,250.6573149958652,73.84072339185772,3,'T.EY,0.0500000000000002,EHɕ.'EY,J.'EHP.EY,T,#,T,J,final,1.0,1.0,1.0,initial,open
448.54172796719126,1386.4917285818865,3119.9935254499846,3.5166248543381373,3.653224865016785,3.353302236079892,6589.74358974359,1.61872606331e-05,1.696375,0.025,0.3378378378378378,0-0-6-1,UW,utterance_020656,group_0,1,fave,212.30302657124355,72.0685665060877,3,T.'UWM.AAN,0.05,'T.EY,'P.UWR,T,M,T,M,internal,0.0,1.0,2.0,initial,open
816.9134383459201,1380.5735403227927,2971.0107220924374,3.689933448080653,3.191842251958305,3.8441243588850154,6769.2307692307695,6.60695026118e-05,1.852375,0.037,0.3245614035087719,0-0-6-3,AA,utterance_020656,group_0,1,fave,173.15911384334586,71.6275566210974,3,T.'UWM.AAN,0.0899999999999998,'T.EY,'P.UWR,M,N,M,N,internal,1.0,2.0,2.0,final,closed
418.3817832543235,903.6405571034588,3044.639724150541,2.8579507973850533,3.0922700890709,3.7231077298286857,6769.2307692307695,1.89499578035e-05,2.209375,0.031,0.3297872340425531,0-0-7-1,UW,utterance_020656,group_0,1,fave,237.2465533875648,75.31384323956749,3,'P.UWR,0.0699999999999998,T.'UWM.AAN,EHɕ.'EY,P,R,P,R,internal,1.0,1.0,1.0,initial,closed
461.132001476209,1887.5172897839025,2884.0473151760807,2.918941286982864,3.8386168401378966,3.479861433925928,6589.74358974359,1.09706590739e-05,2.349375,0.031,0.3297872340425531,0-0-8-0,EH,utterance_020656,group_0,1,fave,219.4715400144695,77.16089733835531,3,EHɕ.'EY,0.0700000000000002,'P.UWR,'T.EY,#,ɕ,R,ɕ,initial,0.0,1.0,2.0,initial,open
430.4485496314665,2218.647607751136,2568.241666702706,2.749343817862636,4.200413641344351,3.6191583390778055,4615.384615384615,0.0008614940855174,2.8313749999999995,0.0349999999999999,0.3365384615384614,0-0-10-1,EH,utterance_020656,group_0,1,fave,215.98466353851217,69.9009774600943,3,J.'EHP.EY,0.08,'T.EY,S.'AAP.AA,J,P,J,P,internal,0.0,1.0,2.0,initial,open
778.4148019782091,1719.6954464181665,3110.563225310571,3.813369134473151,3.663832334209931,3.9788387038770088,7307.692307692308,0.0008024000318963,3.116375,0.045,0.335820895522388,0-0-11-1,AA,utterance_020656,group_0,1,fave,218.97383356124524,70.67839129616564,3,S.'AAP.AA,0.1099999999999998,J.'EHP.EY,K.AANS.'EHRL.EYN.EH,S,P,S,P,internal,0.0,1.0,2.0,initial,open
893.1191964155233,1435.6998855042434,2646.8602419367035,3.666591613476558,3.0359814978013837,3.334814670746468,7307.692307692308,0.0002828984969535,3.276375,0.045,0.335820895522388,0-0-11-3,AA,utterance_020656,group_0,1,fave,202.3534933051922,71.61518490588705,3,S.'AAP.AA,0.1100000000000003,J.'EHP.EY,K.AANS.'EHRL.EYN.EH,P,#,P,K,final,1.0,2.0,2.0,final,open
836.1438073110597,1601.6074154173823,2674.279803620098,4.045533678296382,3.1836245804823475,4.077651819366479,6769.2307692307695,0.0001372088559348,3.449375,0.031,0.3297872340425531,0-0-12-1,AA,utterance_020656,group_0,1,fave,216.15443256906252,74.77117919746279,3,K.AANS.'EHRL.EYN.EH,0.0699999999999998,S.'AAP.AA,SIL,K,N,K,N,internal,0.0,1.0,4.0,initial,closed
538.0065146827595,2311.052797987943,3013.000680575285,3.2561003212952886,3.653052743059326,3.760722671003396,6589.74358974359,0.0005954795736229,3.816375,0.045,0.3358208955223881,0-0-12-7,EY,utterance_020656,group_0,1,fave,177.58127122887427,68.83508461192535,3,K.AANS.'EHRL.EYN.EH,0.1100000000000003,S.'AAP.AA,SIL,L,N,L,N,internal,1.0,3.0,4.0,med,open
634.7212281579549,2276.36825513329,2972.351661692549,4.147394351469115,3.503914341101386,3.578124102138831,6230.769230769231,0.0029342257955955,4.014375,0.081,0.3319672131147542,0-0-12-9,EH,utterance_020656,group_0,1,fave,161.3078438846357,59.24379911208537,3,K.AANS.'EHRL.EYN.EH,0.2200000000000002,S.'AAP.AA,SIL,N,#,N,SIL,final,0.0,4.0,4.0,final,open
