F1,F2,F3,B1,B2,B3,max_formant,smooth_error,time,rel_time,prop_time,id,label,file_name,group,speaker_num,point_heuristic,f0,intensity,optimized,word,stress,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context,sidx,sN,syl_pos,syl_open_closed
366.2265104959962,999.8478185758652,1666.3291154004792,4.050429864861124,2.7158989188604874,4.159495093384467,3358.974358974359,0.0168586907101904,0.05475,0.067,0.3284313725490196,0-0-0-0,SIL,utterance_010940,group_0,1,fave,,25.59565345199485,6,<eps>,,0.18,#,тракторпа,#,#,N,T,coextensive,,,,
807.0112223725172,1584.247258516893,2234.2054485514072,3.4926518171435577,3.890664000608678,3.6934859636886506,6410.25641025641,6.521890420101366e-06,0.3073749999999999,0.027,0.3214285714285714,0-0-1-2,AA0,utterance_010940,group_0,1,fave,235.90207886646576,81.4240798129721,6,тракторпа,0.0,0.06,<eps>,кайсан,R,K,R,K,internal,,,,
612.3628075826643,1725.6746952476442,2629.7094918411253,3.414393610954184,3.227087927475195,3.210894169476907,6051.282051282051,1.79306206989e-05,0.727375,0.027,0.3214285714285714,0-0-2-1,AA0,utterance_010940,group_0,1,fave,240.77266855166096,76.30745647534431,6,кайсан,0.0,0.06,тракторпа,шӑнсах,K,J,K,J,internal,,,,
677.3840334860863,1241.0733398097989,2234.5472551253333,3.61187881209306,3.2741456550021923,3.663958902894594,6051.282051282051,7.73768322646e-05,0.602375,0.037,0.324561403508772,0-0-1-8,AA1,utterance_010940,group_0,1,fave,241.02389717371275,83.09227283759667,6,тракторпа,1.0,0.09,<eps>,кайсан,P,#,P,K,final,,,,
758.7881129899984,1808.2384534609096,2966.9556475500103,3.3736573161950894,3.319667455414696,3.3717786629639868,6589.74358974359,7.24604772395e-05,0.911375,0.035,0.3365384615384615,0-0-2-4,AA1,utterance_010940,group_0,1,fave,269.3893329733864,83.70709806818083,6,кайсан,1.0,0.0799999999999999,тракторпа,шӑнсах,S,N,S,N,internal,,,,
731.9276765382319,1657.6114780632652,3088.282715234101,3.495709216226194,3.437003861329913,3.865826347765177,6051.282051282051,7.74469100373e-05,1.3193750000000002,0.031,0.3297872340425531,0-0-3-4,AA1,utterance_010940,group_0,1,fave,245.4970437455977,82.42667148997526,6,шӑнсах,1.0,0.0699999999999998,кайсан,вилетӗн,S,χ,S,χ,internal,,,,
581.288810766297,1549.7040448768978,2970.977887960234,3.9580700446261776,3.093882924752683,3.5987974184816465,5692.307692307692,6.85113938186e-05,1.156375,0.025,0.3378378378378378,0-0-3-1,AH0,utterance_010940,group_0,1,fave,246.6910256851249,78.21344386905213,6,шӑнсах,0.0,0.05,кайсан,вилетӗн,SH,N,SH,N,internal,,,,
451.6919400063376,2414.400509075389,2818.4065949133987,3.4496451882070787,3.752665839438332,3.539547638274217,6230.769230769231,1.12078072837e-05,1.516375,0.025,0.3378378378378379,0-0-4-1,IY0,utterance_010940,group_0,1,fave,252.47146768820704,75.78798557829177,6,вилетӗн,0.0,0.05,шӑнсах,#,V,L,V,L,internal,,,,
469.1994800458083,2542.6107704643414,3079.5176846849604,3.121785919749558,3.2846980573915725,3.777982134081165,6230.769230769231,7.86480457039e-05,1.644375,0.041,0.3306451612903226,0-0-4-3,EY1,utterance_010940,group_0,1,fave,208.88337071855915,78.38081721377726,6,вилетӗн,1.0,0.1,шӑнсах,#,L,T,L,T,internal,,,,
414.6401449878376,2533.582290303353,3261.2983844384803,2.991434817952332,3.1131325059304835,3.4606001120090664,5692.307692307692,2.78643674002e-05,1.809375,0.031,0.3297872340425531,0-0-4-5,EH0,utterance_010940,group_0,1,fave,163.93128223311294,71.83310950197267,6,вилетӗн,0.0,0.07,шӑнсах,#,T,N,T,N,internal,,,,
