F1,F2,F3,B1,B2,B3,max_formant,smooth_error,time,rel_time,prop_time,id,label,file_name,group,speaker_num,point_heuristic,f0,intensity,optimized,word,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context,phon_stress,sidx,sN,syl_pos,syl_open_closed
403.1452203104374,1014.829330198618,1580.787499908069,3.820856440974416,3.3985538857564648,4.226124693465456,3179.48717948718,0.0201178072987361,0.13875,0.151,0.3325991189427312,0-0-0-0,SIL,utterance_027169,group_0,1,fave,,20.644094242013363,5,SIL,0.43,#,HH.'EHV.EYL,#,#,SIL,HH,coextensive,,,,,
317.286224380545,2493.390126506524,3209.5248057370577,3.608802232695868,4.206028286262764,4.311265284489111,5871.794871794871,0.0172297053921425,1.971375,0.0349999999999999,0.3365384615384614,0-0-4-0,SIL,utterance_027169,group_0,1,fave,,52.27388133575054,5,SIL,0.08,V.AHJS.AHRL.'AAN.AAT,ɕ.'IYLS.EYM,#,#,T,ɕ,coextensive,,,,,
935.4941415512784,1958.556521380602,3002.79719774107,4.062005640263961,3.2398221312160222,4.362885206488572,6589.74358974359,0.0104809530564414,3.5493749999999995,0.091,0.3321167883211678,0-0-7-0,SIL,utterance_027169,group_0,1,fave,,31.329681887672905,5,SIL,0.25,AASHK.AHN.'AAɕː.EH,ɕ.'EHR.EY,#,#,EH0 [sidx=4/sN=4/pos=final/oc=open],ɕ,coextensive,,,,,
436.7509108633584,995.4182340802992,1557.415306780521,3.548762403047748,3.832627413442848,3.580131867571422,3358.974358974359,0.0070256074082136,5.041375,0.0349999999999999,0.3365384615384615,0-0-11-0,SIL,utterance_027169,group_0,1,fave,192.7769826070412,58.91610394859616,5,SIL,0.08,UXK.'EYT,V.'EHS.EYN,#,#,T,V,coextensive,,,,,
971.9390141328856,1730.9663607887387,3315.338735400862,4.036140170360302,3.711988951995029,3.675440889285992,6230.769230769231,0.016483799985556,7.049375,0.151,0.3325991189427312,0-0-16-0,SIL,utterance_027169,group_0,1,fave,203.3486907835982,60.71836086880232,5,SIL,0.4299999999999997,HH.'AHV.AATL.AH,T.'EHS.EY,#,#,AH0 [sidx=3/sN=3/pos=final/oc=open],T,coextensive,,,,,
581.3687720512975,1390.9369916052008,3052.2948310602924,2.669208148620044,3.4992027745308607,4.143129544491851,5871.794871794871,0.0004369822193354,7.729374999999999,0.031,0.3297872340425531,0-0-18-0,SIL,utterance_027169,group_0,1,fave,244.74114080043185,68.87172230662205,5,SIL,0.0700000000000002,T.'EHS.EY,UWL.AHSHT.AARM.'AAS.AHR,#,#,EY1 [sidx=2/sN=2/pos=final/oc=open],UW0 [sidx=1/sN=5/pos=initial/oc=open],coextensive,,,,,
560.7215283501287,1681.8243881097465,2765.0046866947223,3.7117025288646337,3.838110220434771,4.491697672317811,6230.769230769231,0.0009123675376106,8.652375,0.037,0.3245614035087719,0-0-20-0,SIL,utterance_027169,group_0,1,fave,,51.18118797416649,5,SIL,0.0899999999999998,UWL.AHSHT.AARM.'AAS.AHR,'ɕ.AAV,#,#,R,ɕ,coextensive,,,,,
485.0274578096112,970.2905948331644,1570.625572343431,3.998975356755589,3.4409050227742943,4.133572124020632,3000.0,0.0117021855908681,10.527375,0.067,0.3284313725490196,0-0-25-0,SIL,utterance_027169,group_0,1,fave,,8.850453651672916,5,SIL,0.1799999999999997,L.'AAR.AAɕː.EH,#,#,#,EH0 [sidx=3/sN=3/pos=final/oc=open],,coextensive,,,,,
465.2775867237424,2243.989172108513,2773.5895664806603,2.637705258989684,3.654352671144086,3.76184195945603,6769.2307692307695,0.0002233901078303,0.6623749999999999,0.037,0.3245614035087719,0-0-1-3,EY,utterance_027169,group_0,1,fave,236.272629979868,85.31026540143942,5,HH.'EHV.EYL,0.0899999999999999,SIL,AHʃː.'IY,V,L,V,L,internal,1.0,2.0,2.0,final,closed
429.4241051612247,2250.3480222337253,3076.7839204963416,2.4937168332873387,3.2080743981715614,4.237188655325372,6589.74358974359,0.0004719032000861,2.421375,0.035,0.3365384615384615,0-0-5-4,EY,utterance_027169,group_0,1,fave,233.7688143351157,79.42786841152535,5,ɕ.'IYLS.EYM,0.08,SIL,AASHK.AHN.'AAɕː.EH,S,M,S,M,internal,1.0,2.0,2.0,final,closed
