F1,F2,F3,B1,B2,B3,max_formant,smooth_error,time,rel_time,prop_time,id,label,file_name,group,speaker_num,point_heuristic,f0,intensity,optimized,word,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context,phon_stress,sidx,sN,syl_pos,syl_open_closed
288.6464919132457,998.8991297750696,1555.6485141286544,3.4072016205009,2.706050207596866,4.258565079501278,3000.0,0.0218119007437513,0.12875,0.141,0.3325471698113208,0-0-0-0,SIL,utterance_013628,group_0,1,fave,201.5341162945368,64.6201564521673,3,SIL,0.4,#,M.AAR.IYJK.'AHN.AA,#,#,SIL,M,coextensive,,,,,
1011.1987116497892,2046.4048280953104,3107.8943246289978,3.475220527467059,4.366221376349567,4.4417608523613685,5333.333333333333,0.0029277822770104,3.499375,0.071,0.3317757009345794,0-0-8-0,SIL,utterance_013628,group_0,1,fave,,9.95464532089072,3,SIL,0.1899999999999999,'IYLtʃ.EH,#,#,#,EH0 [sidx=2/sN=2/pos=final/oc=open],,coextensive,,,,,
430.48919160338926,2635.4215187429845,3233.436305915403,2.897088704134262,3.4709426514421846,3.672520311380107,6769.2307692307695,3.1975437289e-05,0.539375,0.031,0.3297872340425531,0-0-1-3,IY,utterance_013628,group_0,1,fave,226.8990027339528,81.14687855364718,3,M.AAR.IYJK.'AHN.AA,0.0699999999999999,SIL,K.UWɕ.EHS.'EYMP.EY,R,J,R,J,internal,0.0,2.0,4.0,med,closed
468.81032566890303,1649.8827977413146,2930.631018089341,3.44809135060933,3.695139396587513,3.282453408139544,6051.282051282051,6.980915030666242e-06,0.757375,0.027,0.3214285714285714,0-0-1-6,AH,utterance_013628,group_0,1,fave,213.98143454315692,80.92626669763422,3,M.AAR.IYJK.'AHN.AA,0.06,SIL,K.UWɕ.EHS.'EYMP.EY,K,N,K,N,internal,0.0,3.0,4.0,med,open
1570.318240129462,1983.4509495614784,3652.768949359636,4.626103903895306,4.637750507242237,4.69910684920243,9820.51282051282,0.0139529629878585,0.8923749999999999,0.057,0.3275862068965517,0-0-1-8,AA,utterance_013628,group_0,1,fave,227.40238694089803,80.61813691595346,3,M.AAR.IYJK.'AHN.AA,0.15,SIL,K.UWɕ.EHS.'EYMP.EY,N,#,N,K,final,1.0,4.0,4.0,final,open
319.4662900475997,1013.561375996263,2691.1483125878226,3.296395098939216,3.0890144208608974,4.145349863033299,6410.25641025641,8.58586311151e-05,1.0973750000000002,0.027,0.3214285714285714,0-0-2-1,UW,utterance_013628,group_0,1,fave,244.0161035880169,83.42268428479957,3,K.UWɕ.EHS.'EYMP.EY,0.0599999999999998,M.AAR.IYJK.'AHN.AA,SH.IXR.'AAS.AA,K,ɕ,K,ɕ,internal,0.0,1.0,4.0,initial,open
364.67083877812513,2252.0033828071905,2933.8113775161505,3.147833775198957,3.184085854255547,3.7898969057637433,5512.820512820513,3.81370673035e-05,1.237375,0.027,0.3214285714285714,0-0-2-3,EH,utterance_013628,group_0,1,fave,231.6288716366852,83.32032834011531,3,K.UWɕ.EHS.'EYMP.EY,0.06,M.AAR.IYJK.'AHN.AA,SH.IXR.'AAS.AA,ɕ,S,ɕ,S,internal,0.0,2.0,4.0,med,open
436.77364484946577,2149.7384619202307,3103.783461328589,2.793473098255705,3.3857631342646446,3.748345197373757,6589.74358974359,6.22230499533e-05,1.387375,0.027,0.3214285714285714,0-0-2-5,EY,utterance_013628,group_0,1,fave,225.7428712223823,85.15528083698358,3,K.UWɕ.EHS.'EYMP.EY,0.06,M.AAR.IYJK.'AHN.AA,SH.IXR.'AAS.AA,S,M,S,M,internal,0.0,3.0,4.0,med,closed
433.92214157811554,2190.4352833029147,2829.787930024334,2.684425370376605,3.325714702676283,3.484887345458061,6948.717948717948,5.72812483708e-05,1.5613750000000002,0.0349999999999999,0.3365384615384614,0-0-2-8,EY,utterance_013628,group_0,1,fave,214.56287250902943,84.85368940694278,3,K.UWɕ.EHS.'EYMP.EY,0.0799999999999998,M.AAR.IYJK.'AHN.AA,SH.IXR.'AAS.AA,P,#,P,SH,final,1.0,4.0,4.0,final,open
740.9739737005945,1746.4649473689174,2742.268593558376,3.892636544906933,3.4680003684352663,4.091817948807463,7487.179487179487,4.57332368867e-05,1.852375,0.037,0.324561403508772,0-0-3-3,AA,utterance_013628,group_0,1,fave,208.3594907996232,82.31042279722537,3,SH.IXR.'AAS.AA,0.0899999999999998,K.UWɕ.EHS.'EYMP.EY,'T.UWPR.EH,R,S,R,S,internal,0.0,2.0,3.0,med,open
1388.6731801252986,2680.5961463019416,4647.496384434928,4.094235673996807,4.5101325947274,4.663588526818239,10000.0,0.0003185523625381,2.014375,0.041,0.3306451612903226,0-0-3-5,AA,utterance_013628,group_0,1,fave,182.24724041655676,81.06611949762909,3,SH.IXR.'AAS.AA,0.1,K.UWɕ.EHS.'EYMP.EY,'T.UWPR.EH,S,#,S,T,final,1.0,3.0,3.0,final,open
706.866966724057,2989.5003455065475,4267.849308436329,3.7719240222363206,4.259161500884054,4.531275070970932,8384.615384615383,3.88434349469e-05,2.177375,0.027,0.3214285714285714,0-0-4-1,UW,utterance_013628,group_0,1,fave,226.53251914609564,80.58569236496135,3,'T.UWPR.EH,0.06,SH.IXR.'AAS.AA,'T.EY,T,P,T,P,internal,1.0,1.0,2.0,initial,closed
530.2083542596854,1903.342743366607,2983.17822110686,3.517611421465792,3.523751506418685,3.762570586971294,8384.615384615383,0.0008795159691749,2.352375,0.037,0.324561403508772,0-0-4-4,EH,utterance_013628,group_0,1,fave,237.9690725088969,81.59822656287142,3,'T.UWPR.EH,0.0900000000000003,SH.IXR.'AAS.AA,'T.EY,R,#,R,T,final,0.0,2.0,2.0,final,open
567.5911111971967,2053.282517486005,2795.9803086314087,3.5534317000643307,3.24768440745326,3.822458703379546,6051.282051282051,0.0019035086829015,3.309375,0.071,0.3317757009345794,0-0-7-3,EH,utterance_013628,group_0,1,fave,156.5858744500784,72.47585503823925,3,'IYLtʃ.EH,0.1900000000000004,tʃ.'EHNS.EY,SIL,tʃ,#,tʃ,SIL,final,0.0,2.0,2.0,final,open
458.4234520388042,2463.0188507715134,3144.638868747983,2.707010553264703,3.368315303741684,3.642926569118493,6589.74358974359,7.17286099002e-05,2.502375,0.037,0.3245614035087719,0-0-5-1,EY,utterance_013628,group_0,1,fave,229.6139212920897,81.99352951808443,3,'T.EY,0.0899999999999998,'T.UWPR.EH,tʃ.'EHNS.EY,T,#,T,tʃ,final,1.0,1.0,1.0,initial,open
445.23065665788783,2079.583246692092,3060.140454018244,3.819495263114532,3.40420551955633,3.21474050444113,7128.205128205128,0.0008124083846184,2.704375,0.041,0.3306451612903226,0-0-6-1,EH,utterance_013628,group_0,1,fave,216.31810937328444,79.35652407373976,3,tʃ.'EHNS.EY,0.1,'T.EY,'IYLtʃ.EH,tʃ,N,tʃ,N,internal,0.0,1.0,2.0,initial,closed
486.2235388109799,2372.500176342537,3163.580366690246,3.1266680025097395,3.385606006707628,4.1227132010477145,6230.769230769231,0.0005920823439263,2.9163750000000004,0.065,0.3350515463917525,0-0-6-4,EY,utterance_013628,group_0,1,fave,182.88891556037305,77.86166591464705,3,tʃ.'EHNS.EY,0.1699999999999999,'T.EY,'IYLtʃ.EH,S,#,S,IY1 [sidx=1/sN=2/pos=initial/oc=open],final,1.0,2.0,2.0,final,open
379.7147245907895,2816.55837634075,3418.071675240574,3.057070609358104,3.414223263329293,3.9012175425109383,6948.717948717948,0.000583269581669,3.072375,0.037,0.324561403508772,0-0-7-0,IY,utterance_013628,group_0,1,fave,196.795699192922,73.03446164603828,3,'IYLtʃ.EH,0.0899999999999998,tʃ.'EHNS.EY,SIL,#,L,EY1 [sidx=2/sN=2/pos=final/oc=open],L,initial,1.0,1.0,2.0,initial,open
