F1,F2,F3,B1,B2,B3,max_formant,smooth_error,time,rel_time,prop_time,id,label,file_name,group,speaker_num,point_heuristic,f0,intensity,optimized,word,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context,phon_stress,sidx,sN,syl_pos,syl_open_closed
1003.679594731067,1827.709857700865,2895.7170786916417,3.846532941569666,3.945097939037799,4.058108469049161,4974.358974358975,0.0133646763478018,0.18475,0.197,0.3316498316498316,0-0-0-0,SIL,utterance_029543,group_0,1,fave,191.25552476090536,53.12991228922594,5,SIL,0.57,#,R.'AAM.AAN,#,#,SIL,R,coextensive,,,,,
381.1325054852207,979.8360951208484,1707.5284614448651,4.121374664265138,3.1861023908104564,4.492013959080907,3538.4615384615386,8.7055105896e-05,2.656375,0.025,0.3378378378378378,0-0-5-0,SIL,utterance_029543,group_0,1,fave,,13.161143274363758,5,SIL,0.0500000000000002,SH.'EYL.EYR.EH,#,#,#,EH0 [sidx=3/sN=3/pos=final/oc=open],,coextensive,,,,,
817.6321629151346,1674.914182199626,2198.904588274135,3.7232863533738607,3.643583616261127,3.922849197043988,5871.794871794871,2.82341939521e-05,0.611375,0.0349999999999999,0.3365384615384614,0-0-1-1,AA,utterance_029543,group_0,1,fave,216.04198845822788,80.09868319108107,5,R.'AAM.AAN,0.08,SIL,AHN.'AA,R,M,R,M,internal,0.0,1.0,2.0,initial,open
880.6533236151594,1438.7622117174217,2177.2136945475318,3.932391314577893,3.404791638863525,5.183909039984711,5333.333333333333,0.0013425053052853,0.7473749999999999,0.047,0.3263888888888889,0-0-1-3,AA,utterance_029543,group_0,1,fave,222.39144057180823,79.72148798795148,5,R.'AAM.AAN,0.12,SIL,AHN.'AA,M,N,M,N,internal,1.0,2.0,2.0,final,closed
726.7885853982518,1695.6365330020292,3055.2208786389738,3.85958002084574,3.2791468686493266,5.355228668049566,5512.820512820513,4.30602855392e-05,0.927375,0.027,0.3214285714285714,0-0-2-0,AH,utterance_029543,group_0,1,fave,271.86107085803127,80.05767243739263,5,AHN.'AA,0.0599999999999999,R.'AAM.AAN,T.'AATM.AAR.EH,#,N,N,N,initial,0.0,1.0,2.0,initial,open
787.8997500890187,1670.0200797396562,2229.3095025717357,3.587387527384025,3.6032557085006407,5.427862142546039,5512.820512820513,0.0018700835375936,1.066375,0.045,0.335820895522388,0-0-2-2,AA,utterance_029543,group_0,1,fave,255.36904555279992,79.00905055465357,5,AHN.'AA,0.1099999999999998,R.'AAM.AAN,T.'AATM.AAR.EH,N,#,N,T,final,1.0,2.0,2.0,final,open
849.0501009127971,1698.7421232112754,3094.451732164806,3.599731041795344,3.979218185627645,3.4966412205684607,6948.717948717948,6.84942320297e-05,1.249375,0.031,0.3297872340425531,0-0-3-1,AA,utterance_029543,group_0,1,fave,255.01577653890303,81.6437751702091,5,T.'AATM.AAR.EH,0.07,AHN.'AA,SH.'EYL.EYR.EH,T,T,T,T,internal,0.0,1.0,3.0,initial,closed
885.2088424510359,1572.856609181804,2256.8405407281307,3.905350074383868,3.513469004641698,5.24762665395452,6051.282051282051,0.0006625938455156,1.526375,0.045,0.335820895522388,0-0-3-4,AA,utterance_029543,group_0,1,fave,204.9422952051376,80.73405018619547,5,T.'AATM.AAR.EH,0.1100000000000001,AHN.'AA,SH.'EYL.EYR.EH,M,R,M,R,internal,1.0,2.0,3.0,med,open
599.8978767124233,2081.8738197448997,2581.2792965959466,3.358895419718552,3.410973140919408,4.541630974548602,5512.820512820513,5.49455022684e-05,1.679375,0.031,0.3297872340425531,0-0-3-6,EH,utterance_029543,group_0,1,fave,252.4053030405198,80.43940600255442,5,T.'AATM.AAR.EH,0.07,AHN.'AA,SH.'EYL.EYR.EH,R,#,R,SH,final,0.0,3.0,3.0,final,open
787.9420759702306,1980.3287331914848,2935.30891112785,3.7284373030327695,3.9803025823151215,4.060023959268516,6410.25641025641,0.0062055459215977,2.3393749999999995,0.131,0.3324873096446699,0-0-4-5,EH,utterance_029543,group_0,1,fave,192.4712798007387,70.86097205511989,5,SH.'EYL.EYR.EH,0.3700000000000001,T.'AATM.AAR.EH,SIL,R,#,R,SIL,final,0.0,3.0,3.0,final,open
499.9959752287781,2197.624122206722,3097.2362093691163,3.47219799372034,3.683916962193337,4.306451947182851,6230.769230769231,0.0004325058312459,1.892375,0.037,0.3245614035087719,0-0-4-1,EY,utterance_029543,group_0,1,fave,238.08630826946288,78.98410579116576,5,SH.'EYL.EYR.EH,0.09,T.'AATM.AAR.EH,SIL,SH,L,SH,L,internal,0.0,1.0,3.0,initial,open
540.4229284169405,2443.737959409201,3150.2558679827985,2.8429615103414925,3.4089395467830923,3.91542873461835,5692.307692307692,0.0005632875704956,2.094375,0.061,0.3315217391304348,0-0-4-3,EY,utterance_029543,group_0,1,fave,186.44156790579316,79.45358396669482,5,SH.'EYL.EYR.EH,0.1600000000000001,T.'AATM.AAR.EH,SIL,L,R,L,R,internal,1.0,2.0,3.0,med,open
