F1,F2,F3,B1,B2,B3,max_formant,smooth_error,time,rel_time,prop_time,id,label,file_name,group,speaker_num,point_heuristic,f0,intensity,optimized,word,stress,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context,sidx,sN,syl_pos,syl_open_closed
1560.4983678528774,2879.677683883524,4255.238482544728,3.927517376962562,4.67112113793586,4.970070218958856,7846.153846153846,0.0468060708995649,0.11275,0.125,0.3342245989304812,0-0-0-0,SIL,utterance_002317,group_0,1,fave,,26.05287204891674,4,<eps>,,0.35,#,хӑйӗн,#,#,SIL,χ,coextensive,,,,
548.1083378496223,2418.2670508031247,3024.8568482278315,3.702162575442277,4.070529291109974,4.187049258153186,6051.282051282051,0.0192286858436674,4.694375,0.241,0.3328729281767956,0-0-13-0,SIL,utterance_002317,group_0,1,fave,165.5017018404886,64.61898790400247,4,<eps>,,0.7000000000000002,<unk>,#,#,#,spn,,coextensive,,,,
503.71226489530136,1032.446756480501,2863.471710497293,3.578576670540665,3.354547492291353,3.674361211598918,6769.2307692307695,0.0002575764262318,0.6523749999999999,0.037,0.3245614035087719,0-0-1-1,AH2,utterance_002317,group_0,1,fave,238.72547746127003,84.06182284390667,4,хӑйӗн,2.0,0.0899999999999999,<eps>,чаҫӗ,χ,J,χ,J,internal,,,,
418.4755206658443,2535.739777549056,2975.268837557645,3.216995475847673,3.372174078796613,3.533147582186462,6051.282051282051,9.2560700046e-05,0.786375,0.045,0.335820895522388,0-0-1-3,EH0,utterance_002317,group_0,1,fave,246.0720979749628,84.93956508678374,4,хӑйӗн,0.0,0.1099999999999999,<eps>,чаҫӗ,J,N,J,N,internal,,,,
455.8868387384445,2205.2957301045226,3007.717057576501,2.9404768597461524,3.476601637943704,3.6621942261312954,6769.2307692307695,1.69246313566e-05,1.266375,0.025,0.3378378378378378,0-0-2-3,EH0,utterance_002317,group_0,1,fave,232.99949192581929,81.77328243096996,4,чаҫӗ,0.0,0.05,хӑйӗн,пӗтнӗ,ɕ,#,ɕ,P,final,,,,
510.9859513092168,2347.694100699408,2994.349330964642,3.305155603376291,3.35897125457994,3.5939797543294523,7128.205128205128,0.0003572082658347,2.2663750000000005,0.065,0.3350515463917525,0-0-5-3,EH0,utterance_002317,group_0,1,fave,172.6398365302797,77.55619636290584,4,ӗнтӗ,0.0,0.1699999999999999,пулсан,пурте,T,#,T,P,final,,,,
670.7432458046861,2058.490978773524,2735.4267125941515,3.5221579364137523,3.476174008642739,3.7275230571631,6589.74358974359,0.0004403528164609,1.0573750000000002,0.047,0.3263888888888889,0-0-2-1,AA1,utterance_002317,group_0,1,fave,235.92744785672144,82.10423536836764,4,чаҫӗ,1.0,0.1199999999999998,хӑйӗн,пӗтнӗ,tʃ,ɕ,tʃ,ɕ,internal,,,,
643.7564476586563,1705.4870585013375,3172.3139386864163,3.7031450361957594,3.556444164734797,3.8414311194671136,6589.74358974359,0.0003170286321044,1.896375,0.045,0.3358208955223881,0-0-4-4,AA1,utterance_002317,group_0,1,fave,203.14994381466337,80.82545999141277,4,пулсан,1.0,0.1100000000000001,пӗтнӗ,ӗнтӗ,S,N,S,N,internal,,,,
455.28113514984574,2037.6078085504064,2839.892323883905,2.9890855521085617,3.049253816067345,3.296153815814981,7128.205128205128,7.017188625640162e-06,1.406375,0.025,0.3378378378378378,0-0-3-1,EH2,utterance_002317,group_0,1,fave,234.28287849578703,80.59594164971129,4,пӗтнӗ,2.0,0.05,чаҫӗ,пулсан,P,T,P,T,internal,,,,
400.2529893652893,1973.8075436372303,3474.558288770445,3.998325452154527,3.5720743787624083,3.5447247508297983,7487.179487179487,7.5880523889e-05,2.0573749999999995,0.027,0.3214285714285714,0-0-5-0,EH2,utterance_002317,group_0,1,fave,241.37466481996177,78.08351596633186,4,ӗнтӗ,2.0,0.06,пулсан,пурте,#,N,N,N,initial,,,,
