F1,F2,F3,B1,B2,B3,max_formant,smooth_error,time,rel_time,prop_time,id,label,file_name,group,speaker_num,point_heuristic,f0,intensity,optimized,word,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context,phon_stress,sidx,sN,syl_pos,syl_open_closed
272.56357124435937,1003.3900534167748,1726.5239479514005,3.5746813625890947,2.4125951270891712,4.099447649286167,3179.48717948718,0.0192168397906082,0.0827499999999999,0.095,0.334507042253521,0-0-0-0,SIL,utterance_002976,group_0,1,fave,,23.71654485723889,3,SIL,0.26,#,spn,#,#,SIL,spn,coextensive,,,,,
271.78548704840546,1043.1781939981302,1795.2021462601372,3.540244171892019,3.26072621418723,4.29749976654742,3358.974358974359,0.006545634475937,2.142375,0.037,0.324561403508772,0-0-5-0,SIL,utterance_002976,group_0,1,fave,155.5616742604439,52.831999529740266,3,SIL,0.0900000000000003,V.'EHS.EYN,#,#,#,N,,coextensive,,,,,
812.5324770713428,1701.785211046625,3062.7321116238936,3.372657429143414,3.4172291583193104,4.151140418210878,6589.74358974359,3.635334424614768e-06,0.956375,0.025,0.3378378378378378,0-0-2-1,AA,utterance_002976,group_0,1,fave,265.7053465901516,84.46873190024546,3,T.AAVL.'AASHM.AA,0.05,spn,'T.IYVR.EH,T,V,T,V,internal,0.0,1.0,3.0,initial,closed
743.3766547793168,1590.2582815636738,2863.626620123158,3.3792283984271654,3.3382004808370684,4.687097689650205,5512.820512820513,0.000965657252727,1.312375,0.037,0.324561403508772,0-0-2-7,AA,utterance_002976,group_0,1,fave,249.40099481271787,83.35447447998345,3,T.AAVL.'AASHM.AA,0.0899999999999998,spn,'T.IYVR.EH,M,#,M,T,final,1.0,3.0,3.0,final,open
356.95955862972744,2712.413332559034,3261.60031552115,3.2312531855355267,3.356856905588308,4.011872303208175,6051.282051282051,0.0008667116608299,1.482375,0.037,0.324561403508772,0-0-3-1,IY,utterance_002976,group_0,1,fave,245.7914162321449,80.80007326792466,3,'T.IYVR.EH,0.09,T.AAVL.'AASHM.AA,V.'EHS.EYN,T,V,T,V,internal,1.0,1.0,2.0,initial,closed
448.435632608155,2108.351523162253,2780.966017402233,2.8956240331519862,3.4474166356565066,3.450690547171716,6230.769230769231,4.971013048130104e-06,1.667375,0.027,0.3214285714285714,0-0-3-4,EH,utterance_002976,group_0,1,fave,218.5154286035307,83.7678327197645,3,'T.IYVR.EH,0.06,T.AAVL.'AASHM.AA,V.'EHS.EYN,R,#,R,V,final,0.0,2.0,2.0,final,open
482.7753801560202,1799.1179777600744,2713.519559943149,3.6611126963964393,3.356432669470159,3.555342797191887,6230.769230769231,7.51786316572e-05,1.7813750000000002,0.035,0.3365384615384615,0-0-4-1,EH,utterance_002976,group_0,1,fave,205.0213801916152,81.04091861322394,3,V.'EHS.EYN,0.08,'T.IYVR.EH,SIL,V,S,V,S,internal,0.0,1.0,2.0,initial,open
424.7867310906203,2276.9522747241544,3165.2048006926816,3.054632832799953,3.3105165805176,3.860878487183783,6051.282051282051,0.000132909393407,1.942375,0.037,0.324561403508772,0-0-4-3,EY,utterance_002976,group_0,1,fave,182.03654619968705,80.75396818030626,3,V.'EHS.EYN,0.09,'T.IYVR.EH,SIL,S,N,S,N,internal,1.0,2.0,2.0,final,closed
