F1,F2,F3,B1,B2,B3,max_formant,smooth_error,time,rel_time,prop_time,id,label,file_name,group,speaker_num,point_heuristic,optimized,word,stress,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context
519.7595127562945,1103.0126595944942,2985.912737453317,3.319719446679931,2.787575695913916,3.270065734899869,6589.74358974359,0.00002163949010593714,0.537375,0.027000000000000003,0.32142857142857145,0-0-1-1,u,utterance_000000,group_0,1,fave,3,вӑйӑн-шайӑн,"",0.05999999999999994,<eps>,упӑшка,v,j,v,j,internal
498.61113612838153,2238.391124992309,2981.9171266500625,3.0314135612997606,3.3512384532223103,3.638441054274282,6410.25641025641,0.00035033131275231656,0.6723750000000001,0.037,0.32456140350877194,0-0-1-3,u,utterance_000000,group_0,1,fave,3,вӑйӑн-шайӑн,"",0.08999999999999997,<eps>,упӑшка,j,n,j,n,internal
597.7502432380392,1299.8580868562624,3386.9207498940855,3.190184245921432,3.450971717948336,2.95178344229389,6410.25641025641,0.00030091745873049244,1.211375,0.035,0.33653846153846156,0-0-2-0,u,utterance_000000,group_0,1,fave,3,упӑшка,"",0.08000000000000007,вӑйӑн-шайӑн,мар,#,p,n,p,initial
766.5498167264543,1600.735218233912,2705.7237737441333,3.4612499303524378,3.5284565401831154,4.097724413877859,6410.25641025641,0.0008768491539300771,0.9173749999999999,0.047,0.3263888888888889,0-0-1-6,AH,utterance_000000,group_0,1,fave,3,вӑйӑн-шайӑн,"",0.12,<eps>,упӑшка,ʃ,j,ʃ,j,internal
772.2600615204036,1552.6350709295164,2770.24887494154,3.67043506175155,3.517557360477954,3.6399889084079335,6410.25641025641,0.000079448260279401,1.5413750000000002,0.035,0.33653846153846156,0-0-2-5,AH,utterance_000000,group_0,1,fave,3,упӑшка,"",0.08000000000000007,вӑйӑн-шайӑн,мар,k,#,k,m,final
877.6750197090327,1499.9987598774128,2913.1380967095106,3.7311032951301386,3.525898575226596,3.491861573606452,6410.25641025641,0.00012949750150662075,1.707375,0.047,0.3263888888888889,0-0-3-1,AH,utterance_000000,group_0,1,fave,3,мар,"",0.1200000000000001,упӑшка,#,m,r,m,r,internal
