param,F1,F2,F3,error,file_name,id,group,label,max_formant,speaker_num,optimized,word,stress,dur,pre_word,fol_word,pre_seg,fol_seg,abs_pre_seg,abs_fol_seg,context
0,4.40693043394799,5.027756188304303,5.640041713530658,0.00002163949010593714,utterance_000000,0-0-1-1,group_0,u,6589.74358974359,1,3,вӑйӑн-шайӑн,"",0.05999999999999994,<eps>,упӑшка,v,j,v,j,internal
1,0.015906209374942793,-0.0650036415591965,0.007678463335007431,0.00002163949010593714,utterance_000000,0-0-1-1,group_0,u,6589.74358974359,1,3,вӑйӑн-шайӑн,"",0.05999999999999994,<eps>,упӑшка,v,j,v,j,internal
2,-0.01058062969622904,0.017923520221768255,0.0014424410636008954,0.00002163949010593714,utterance_000000,0-0-1-1,group_0,u,6589.74358974359,1,3,вӑйӑн-шайӑн,"",0.05999999999999994,<eps>,упӑшка,v,j,v,j,internal
3,0.005911238620512886,-0.004033598708283014,0.006026525412813366,0.00002163949010593714,utterance_000000,0-0-1-1,group_0,u,6589.74358974359,1,3,вӑйӑн-шайӑн,"",0.05999999999999994,<eps>,упӑшка,v,j,v,j,internal
4,0.00023417345134472435,-0.0041439353378610235,-0.0004414387053354725,0.00002163949010593714,utterance_000000,0-0-1-1,group_0,u,6589.74358974359,1,3,вӑйӑн-шайӑн,"",0.05999999999999994,<eps>,упӑшка,v,j,v,j,internal
0,4.472448649786712,5.353680154728446,5.7068485096109365,0.00035033131275231656,utterance_000000,0-0-1-3,group_0,u,6410.25641025641,1,3,вӑйӑн-шайӑн,"",0.08999999999999997,<eps>,упӑшка,j,n,j,n,internal
1,-0.0630326774358099,0.08794723680343586,-0.03985804686478588,0.00035033131275231656,utterance_000000,0-0-1-3,group_0,u,6410.25641025641,1,3,вӑйӑн-шайӑн,"",0.08999999999999997,<eps>,упӑшка,j,n,j,n,internal
2,-0.005264522985354154,0.009042002787237486,0.003371934793249992,0.00035033131275231656,utterance_000000,0-0-1-3,group_0,u,6410.25641025641,1,3,вӑйӑн-шайӑн,"",0.08999999999999997,<eps>,упӑшка,j,n,j,n,internal
3,0.0043297800591472905,0.005819987158486304,-0.0012259892770644213,0.00035033131275231656,utterance_000000,0-0-1-3,group_0,u,6410.25641025641,1,3,вӑйӑн-шайӑн,"",0.08999999999999997,<eps>,упӑшка,j,n,j,n,internal
4,0.002050643683249484,0.002469942283319957,0.005037010620167735,0.00035033131275231656,utterance_000000,0-0-1-3,group_0,u,6410.25641025641,1,3,вӑйӑн-шайӑн,"",0.08999999999999997,<eps>,упӑшка,j,n,j,n,internal
0,4.387892533656476,4.95863050293237,5.742531686057739,0.00030091745873049244,utterance_000000,0-0-2-0,group_0,u,6410.25641025641,1,3,упӑшка,"",0.08000000000000007,вӑйӑн-шайӑн,мар,#,p,n,p,initial
1,0.08961650267795684,0.09556456894368605,0.0016062237420876604,0.00030091745873049244,utterance_000000,0-0-2-0,group_0,u,6410.25641025641,1,3,упӑшка,"",0.08000000000000007,вӑйӑн-шайӑн,мар,#,p,n,p,initial
2,0.026773771814761288,0.031416229531799116,0.004276471725669624,0.00030091745873049244,utterance_000000,0-0-2-0,group_0,u,6410.25641025641,1,3,упӑшка,"",0.08000000000000007,вӑйӑн-шайӑн,мар,#,p,n,p,initial
3,-0.010096778858371468,0.01326240981023281,-0.0014142257132944273,0.00030091745873049244,utterance_000000,0-0-2-0,group_0,u,6410.25641025641,1,3,упӑшка,"",0.08000000000000007,вӑйӑн-шайӑн,мар,#,p,n,p,initial
4,-0.013151832614088586,0.010680598010645444,-0.000190112963544533,0.00030091745873049244,utterance_000000,0-0-2-0,group_0,u,6410.25641025641,1,3,упӑшка,"",0.08000000000000007,вӑйӑн-шайӑн,мар,#,p,n,p,initial
0,4.721830461627445,5.285751833296939,5.611087930817281,0.0008768491539300771,utterance_000000,0-0-1-6,group_0,AH,6410.25641025641,1,3,вӑйӑн-шайӑн,"",0.12,<eps>,упӑшка,ʃ,j,ʃ,j,internal
1,-0.005038159536335854,-0.05389260475448392,0.01768853518492187,0.0008768491539300771,utterance_000000,0-0-1-6,group_0,AH,6410.25641025641,1,3,вӑйӑн-шайӑн,"",0.12,<eps>,упӑшка,ʃ,j,ʃ,j,internal
2,-0.03354843593238493,0.031205463003779087,0.03558891111142203,0.0008768491539300771,utterance_000000,0-0-1-6,group_0,AH,6410.25641025641,1,3,вӑйӑн-шайӑн,"",0.12,<eps>,упӑшка,ʃ,j,ʃ,j,internal
3,0.017891234805595513,0.0017890093638386888,0.01985948984241356,0.0008768491539300771,utterance_000000,0-0-1-6,group_0,AH,6410.25641025641,1,3,вӑйӑн-шайӑн,"",0.12,<eps>,упӑшка,ʃ,j,ʃ,j,internal
4,0.0005876609927200472,0.00972543155241594,0.019988183413787705,0.0008768491539300771,utterance_000000,0-0-1-6,group_0,AH,6410.25641025641,1,3,вӑйӑн-шайӑн,"",0.12,<eps>,упӑшка,ʃ,j,ʃ,j,internal
0,4.709995047970126,5.1670925106604555,5.612848178675366,0.000079448260279401,utterance_000000,0-0-2-5,group_0,AH,6410.25641025641,1,3,упӑшка,"",0.08000000000000007,вӑйӑн-шайӑн,мар,k,#,k,m,final
1,0.003972381357968359,0.02682535827280327,-0.0073641040650582875,0.000079448260279401,utterance_000000,0-0-2-5,group_0,AH,6410.25641025641,1,3,упӑшка,"",0.08000000000000007,вӑйӑн-шайӑн,мар,k,#,k,m,final
2,-0.022173386677653024,-0.004318534661232495,0.006833814068793109,0.000079448260279401,utterance_000000,0-0-2-5,group_0,AH,6410.25641025641,1,3,упӑшка,"",0.08000000000000007,вӑйӑн-шайӑн,мар,k,#,k,m,final
3,0.010684746384668816,0.005563926755528708,0.0017855589356219725,0.000079448260279401,utterance_000000,0-0-2-5,group_0,AH,6410.25641025641,1,3,упӑшка,"",0.08000000000000007,вӑйӑн-шайӑн,мар,k,#,k,m,final
4,-0.0018227113615563507,-0.0017255864512472452,0.0016473318878598054,0.000079448260279401,utterance_000000,0-0-2-5,group_0,AH,6410.25641025641,1,3,упӑшка,"",0.08000000000000007,вӑйӑн-шайӑн,мар,k,#,k,m,final
0,4.80799442003148,5.207100898902967,5.617367643447783,0.00012949750150662075,utterance_000000,0-0-3-1,group_0,AH,6410.25641025641,1,3,мар,"",0.1200000000000001,упӑшка,#,m,r,m,r,internal
1,-0.021240287508196714,-0.036082168658520486,0.022816750742273715,0.00012949750150662075,utterance_000000,0-0-3-1,group_0,AH,6410.25641025641,1,3,мар,"",0.1200000000000001,упӑшка,#,m,r,m,r,internal
