filename,interval_label,start,end,steptime,stepnumber,f0,jumpkilleffect
utterance_000001,ɑ;1;F;FF;F-1-FF,2.52,2.6,0.04190476190476193,11,199.83825355068888,1
utterance_000001,ɑ;1;F;FF;F-1-FF,2.52,2.6,0.04571428571428574,12,198.41972001122997,1
utterance_000001,ɑ;1;F;FF;F-1-FF,2.52,2.6,0.04952380952380955,13,197.0011864717711,1
utterance_000001,ɑ;1;F;FF;F-1-FF,2.52,2.6,0.053333333333333365,14,195.58265293231221,1
utterance_000001,ɑ;1;F;FF;F-1-FF,2.52,2.6,0.057142857142857176,15,194.1641193928533,1
utterance_000001,ɑ;1;F;FF;F-1-FF,2.52,2.6,0.06095238095238099,16,192.74558585339443,1
utterance_000001,ɑ;1;F;FF;F-1-FF,2.52,2.6,0.0647619047619048,17,191.32705231393552,1
utterance_000001,ɑ;1;F;FF;F-1-FF,2.52,2.6,0.06857142857142862,18,191.2383939677193,1
utterance_000001,ɑ;1;F;FF;F-1-FF,2.52,2.6,0.07238095238095243,19,191.2383939677193,1
utterance_000001,ɑ;1;F;FF;F-1-FF,2.52,2.6,0.07619047619047625,20,191.2383939677193,1
utterance_000001,ɑ;2;F;FF;F-2-FF,2.68,2.77,0.004285714285714279,1,187.0672294367097,1
utterance_000001,ɑ;2;F;FF;F-2-FF,2.68,2.77,0.008571428571428558,2,187.0672294367097,1
utterance_000001,ɑ;2;F;FF;F-2-FF,2.68,2.77,0.012857142857142838,3,187.0672294367097,1
utterance_000001,ɑ;2;F;FF;F-2-FF,2.68,2.77,0.017142857142857116,4,188.27866806431516,1
utterance_000001,ɑ;2;F;FF;F-2-FF,2.68,2.77,0.021428571428571394,5,190.70154531952622,1
utterance_000001,ɑ;2;F;FF;F-2-FF,2.68,2.77,0.025714285714285672,6,193.12442257473728,1
utterance_000001,ɑ;2;F;FF;F-2-FF,2.68,2.77,0.02999999999999995,7,195.54729982994834,1
utterance_000001,ɑ;2;F;FF;F-2-FF,2.68,2.77,0.03428571428571423,8,197.9701770851594,1
utterance_000001,ɑ;2;F;FF;F-2-FF,2.68,2.77,0.038571428571428513,9,200.39305434037047,1
utterance_000001,ɑ;2;F;FF;F-2-FF,2.68,2.77,0.042857142857142795,10,202.81593159558153,1
utterance_000001,ɑ;2;F;FF;F-2-FF,2.68,2.77,0.04714285714285708,11,205.2388088507926,1
utterance_000001,ɑ;2;F;FF;F-2-FF,2.68,2.77,0.05142857142857136,12,207.66168610600366,1
utterance_000001,ɑ;2;F;FF;F-2-FF,2.68,2.77,0.05571428571428564,13,210.08456336121472,1
utterance_000001,ɑ;2;F;FF;F-2-FF,2.68,2.77,0.05999999999999992,14,212.50744061642578,1
utterance_000001,ɑ;2;F;FF;F-2-FF,2.68,2.77,0.0642857142857142,15,214.93031787163684,1
utterance_000001,ɑ;2;F;FF;F-2-FF,2.68,2.77,0.06857142857142848,16,217.3531951268479,1
utterance_000001,ɑ;2;F;FF;F-2-FF,2.68,2.77,0.07285714285714276,17,219.77607238205897,1
utterance_000001,ɑ;2;F;FF;F-2-FF,2.68,2.77,0.07714285714285704,18,220.98751100966464,1
utterance_000001,ɑ;2;F;FF;F-2-FF,2.68,2.77,0.08142857142857132,19,220.98751100966464,1
utterance_000001,ɑ;2;F;FF;F-2-FF,2.68,2.77,0.0857142857142856,20,220.98751100966464,1
utterance_000001,u;1;F;FF;F-1-FF,3.23,3.29,0.0028571428571428597,1,180.8348549227298,1
utterance_000001,u;1;F;FF;F-1-FF,3.23,3.29,0.0057142857142857195,2,180.8348549227298,1
utterance_000001,u;1;F;FF;F-1-FF,3.23,3.29,0.008571428571428579,3,180.8348549227298,1
utterance_000001,u;1;F;FF;F-1-FF,3.23,3.29,0.011428571428571439,4,180.8348549227298,1
utterance_000001,u;1;F;FF;F-1-FF,3.23,3.29,0.0142857142857143,5,180.8348549227298,1
utterance_000001,u;1;F;FF;F-1-FF,3.23,3.29,0.017142857142857158,6,180.8327523790438,1
utterance_000001,u;1;F;FF;F-1-FF,3.23,3.29,0.020000000000000018,7,180.82994898746247,1
utterance_000001,u;1;F;FF;F-1-FF,3.23,3.29,0.022857142857142878,8,180.82714559588118,1
utterance_000001,u;1;F;FF;F-1-FF,3.23,3.29,0.025714285714285738,9,180.82434220429985,1
utterance_000001,u;1;F;FF;F-1-FF,3.23,3.29,0.0285714285714286,10,180.82153881271853,1
utterance_000001,u;1;F;FF;F-1-FF,3.23,3.29,0.03142857142857146,11,180.8187354211372,1
utterance_000001,u;1;F;FF;F-1-FF,3.23,3.29,0.034285714285714315,12,180.81593202955588,1
utterance_000001,u;1;F;FF;F-1-FF,3.23,3.29,0.03714285714285717,13,180.81312863797456,1
utterance_000001,u;1;F;FF;F-1-FF,3.23,3.29,0.04000000000000003,14,180.81032524639326,1
utterance_000001,u;1;F;FF;F-1-FF,3.23,3.29,0.042857142857142885,15,180.80752185481194,1
utterance_000001,u;1;F;FF;F-1-FF,3.23,3.29,0.04571428571428574,16,180.80541931112595,1
utterance_000001,u;1;F;FF;F-1-FF,3.23,3.29,0.0485714285714286,17,180.80541931112595,1
utterance_000001,u;1;F;FF;F-1-FF,3.23,3.29,0.051428571428571455,18,180.80541931112595,1
utterance_000001,u;1;F;FF;F-1-FF,3.23,3.29,0.05428571428571431,19,180.80541931112595,1
utterance_000001,u;1;F;FF;F-1-FF,3.23,3.29,0.05714285714285717,20,180.80541931112595,1
utterance_000001,ɑ;2;F;FF;F-2-FF,3.4,3.51,0.005238095238095232,1,191.46554483147852,1
utterance_000001,ɑ;2;F;FF;F-2-FF,3.4,3.51,0.010476190476190464,2,191.46554483147852,1
utterance_000001,ɑ;2;F;FF;F-2-FF,3.4,3.51,0.015714285714285695,3,191.43099083432193,1
utterance_000001,ɑ;2;F;FF;F-2-FF,3.4,3.51,0.020952380952380927,4,191.17759485517357,1
