subset,contrast,n_vowels,d_intensity_dB,d_duration_ms
All-reduced words (polysyllabic),initial - non-initial,11305,0.6121014688376363,-2.3040229961672765
Words with a full vowel,final - non-final,235869,0.47435271856042505,12.159144916750847
