pos,n,int_point_dB,int_mid_dB,duration_ms,f0_Hz
initial,5359,77.69917200686155,78.70619974092511,76.80350811718615,221.70044170808646
non-initial,5946,77.37806207890627,78.09409827208748,79.10753111335343,223.26115631711733
